"det_Name","det_Team","Age","G","AB","PA","wRC+","playerid"
"Adam Duvall","Braves","30","41","120","130","121","10950"
"Aristides Aquino","Reds","25","56","205","225","119","15482"
"Hunter Dozier","Royals","27","139","523","586","124","15117"
"Luke Voit","Yankees","28","118","429","510","126","14811"
"Gleyber Torres","Yankees","22","144","546","604","125","16997"
"Wilmer Flores","Diamondbacks","27","89","265","285","120","5827"
"Andrew McCutchen","Phillies","32","59","219","262","120","9847"
"Michael Conforto","Mets","26","151","549","648","126","16376"
"Lourdes Gurriel Jr.","Blue Jays","25","84","314","343","124","19238"
"Nicholas Castellanos","- - -","27","151","615","664","121","11737"
"Kyle Schwarber","Cubs","26","155","529","610","120","16478"
"Tommy Edman","Cardinals","24","92","326","349","123","19470"
"Ramon Laureano","Athletics","24","123","434","481","126","17128"
"Trea Turner","Nationals","26","122","521","569","117","16252"
"Max Kepler","Twins","26","134","524","596","121","12144"
"Tom Murphy","Mariners","28","76","260","281","126","13499"
"Matt Chapman","Athletics","26","156","583","670","125","16505"
"Brandon Lowe","Rays","24","82","296","327","125","18882"
"Ryan Braun","Brewers","35","144","459","508","117","3410"
"Ozzie Albies","Braves","22","160","640","702","117","16556"
"Eric Thames","Brewers","32","149","396","459","117","3711"
"Shin-Soo Choo","Rangers","36","151","563","660","112","3174"
"Starling Marte","Pirates","30","132","539","586","119","9241"
"Mike Yastrzemski","Giants","28","107","371","411","121","14854"
"Jorge Polanco","Twins","25","153","631","704","119","13152"
"Shohei Ohtani","Angels","24","106","384","425","123","19755"
"Danny Santana","Rangers","28","130","474","511","111","10322"
"Tommy La Stella","Angels","30","80","292","321","122","12371"
"Jesse Winker","Reds","25","113","338","384","113","13590"
"Willie Calhoun","Rangers","24","83","309","337","110","17838"
"Francisco Lindor","Indians","25","143","598","654","114","12916"
"Tommy Pham","Rays","31","145","567","654","121","2967"
"Mike Moustakas","Brewers","30","143","523","584","113","4892"
"Ji-Man Choi","Rays","28","127","410","487","121","5452"
"Mitch Moreland","Red Sox","33","91","298","335","112","3086"
"Javier Baez","Cubs","26","138","531","561","114","12979"
"Rhys Hoskins","Phillies","26","160","570","705","113","16472"
"Gary Sanchez","Yankees","26","106","396","446","116","11442"
"Paul Goldschmidt","Cardinals","31","161","597","682","116","9218"
"Donovan Solano","Giants","31","81","215","228","116","8623"
"Christian Walker","Diamondbacks","28","152","529","603","112","13419"
"Aledmys Diaz","Astros","28","69","210","247","119","15937"
"Omar Narvaez","Mariners","27","132","428","482","119","13338"
"Brett Gardner","Yankees","35","141","491","550","115","9927"
"Jose Abreu","White Sox","32","159","634","693","117","15676"
"Jake Cave","Twins","26","72","198","228","113","14477"
"Eloy Jimenez","White Sox","22","122","468","504","116","17484"
"Cavan Biggio","Blue Jays","24","100","354","430","114","19252"
"Brian Anderson","Marlins","26","126","459","520","114","18289"
"Eric Sogard","- - -","33","110","396","442","115","7927"
"Adam Eaton","Nationals","30","151","566","656","107","11205"
"Alex Verdugo","Dodgers","23","106","343","377","114","17027"
"Yandy Diaz","Rays","27","79","307","347","116","16578"
"Eduardo Escobar","Diamondbacks","30","158","636","699","109","6153"
"Alex Dickerson","- - -","29","68","174","190","113","12649"
"Corey Seager","Dodgers","25","134","489","541","113","13624"
"Byron Buxton","Twins","25","87","271","295","111","14161"
"Whit Merrifield","Royals","30","162","681","735","110","11281"
"J.T. Realmuto","Phillies","28","145","538","593","108","11739"
"Brandon Nimmo","Mets","26","69","199","254","114","12927"
"Kevin Newman","Pirates","25","130","493","531","110","17696"
"Carson Kelly","Diamondbacks","24","111","314","365","108","13620"
"Franmil Reyes","- - -","23","150","494","548","109","14566"
"Victor Caratini","Cubs","25","95","244","279","108","14968"
